Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute Magnitude (Mv),Color,Spectral Class,Galaxy,Constellation,Age (in million years),Metallicity ([Fe/H]),Rotational Velocity (km/s),Distance (light years),Star Type ID,Star Type
3882,0.002748829405637913,0.11614965039576733,11.232130529882994,Orange,K,Andromeda,Cygnus,2072.429337388976,-0.831932325278536,9.914174048309112,6279.9187052536845,1,Red Dwarf
4866,0.23426658211422743,0.6824424548163126,6.40572414660923,Orange,K,Milky Way,Ursa Major,8061.732184564838,0.39970542509654505,8.937917373303925,399.13519473116156,3,Main Sequence
8340,0.001362890805638171,0.017719583297618156,11.993847345755364,White,A,Triangulum,Cassiopeia,611.8338497811867,-0.4363121686611116,205.77343997952568,2056.084304228278,2,White Dwarf
7176,3.82877643564876,1.2685868905884272,3.3723499790110947,Yellow-White,F,Milky Way,Pegasus,1549.7333687874752,-0.472495657341923,90.25000376087436,4889.970842498644,3,Main Sequence
6412,37938.044899099645,158.16322825524222,-6.6176873654452155,Yellow-White,F,Milky Way,Lyra,185.82809945220313,-0.22098501346659308,67.49399291599171,57183.27118035186,4,Supergiant
7418,5.584656304002037,1.433770505989664,2.962508873679965,Yellow-White,F,Sombrero,Ursa Major,7623.54600275875,-0.3888792473993399,41.42500269721638,18.6656846936983,3,Main Sequence
9614,0.0017541051370910813,0.015127760828524656,11.719860948904307,White,A,Whirlpool,Cassiopeia,10664.110111260865,-0.5320798362622319,174.98403524377585,66.87370471373129,2,White Dwarf
4519,0.1335335253975254,0.5974004560446555,7.016024212765994,Orange,K,Milky Way,Scorpius,10938.89686738098,-0.4223285199791266,10.363462846563017,100.05741099253376,1,Red Dwarf
2811,0.0007399100254615568,0.11492720363248374,12.657052720339072,Red,M,Sombrero,Pegasus,2056.9489776552873,0.4384844637368221,6.791552300375237,20.58770171098099,1,Red Dwarf
7568,0.0008676419902632831,0.017169715901721193,12.484148595257007,White,A,Andromeda,Lyra,2074.84737796177,0.11374190223738918,221.31033115625002,12765.749154560745,2,White Dwarf
2550,0.003861028337614236,0.31902609552439704,10.863242527263155,Red,M,Whirlpool,Scorpius,4471.714046218586,-0.2648010413704777,7.849080610106668,980.7322934620327,3,Main Sequence
5425,1.0258065498450477,1.1489161224990605,4.802336330653533,Yellow,G,Milky Way,Cassiopeia,6909.386613675113,-0.19006873402025168,5.383629674535001,15367.158551422883,3,Main Sequence
3817,0.031986028959883624,0.40981789491360743,8.56759918471154,Orange,K,Whirlpool,Cygnus,7988.470711375565,0.25661111739781856,14.257798652071033,48861.59457298155,1,Red Dwarf
